Player,G,TGT,REC,REC_YDS,REC_TD,LG,20+,RUSH_ATT,RUSH_YDS,RUSH_TD,FPTS
Keenan Allen,17,171,111,1526,7,441,21,2,9,0,207.50000000000006
Hunter Henry,24,124,90,1158,8,474,16,0,0,0,163.79999999999998
Melvin Gordon,17,90,64,507,4,343,5,301,1198,8,242.50000000000003
Tyrell Williams,17,73,46,795,5,498,13,0,0,0,107.5
Travis Benjamin,17,70,38,663,5,441,12,15,100,0,106.3
Antonio Gates,17,58,34,362,3,183,4,0,0,0,54.2
Dontrelle Inman,11,54,30,437,1,148,7,0,0,0,49.699999999999996
Austin Ekeler,14,35,27,279,3,148,3,47,260,2,79.9
Mike Williams,10,24,12,103,0,74,1,0,0,0,10.3
Derek Watt,12,3,2,35,0,26,0,7,26,0,6.1000000000000005
